Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,marketCap,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow
2014-10-27 00:00:00+05:30,351.9091265440403,356.8312233805397,351.8663146117891,354.8623962402344,2755722,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-10-28 00:00:00+05:30,355.24754486314265,355.24754486314265,342.53567790510715,348.9986267089844,3408381,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-10-29 00:00:00+05:30,351.8235120885514,352.2515154443033,345.2321560613274,346.7729797363281,2572044,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-10-30 00:00:00+05:30,347.20097420652394,350.9674381091916,343.6484829726584,348.827392578125,6382703,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-10-31 00:00:00+05:30,352.85074679403664,354.39159962178707,339.06886912772757,341.4657287597656,16904947,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-03 00:00:00+05:30,343.6485724807884,345.70302368229875,336.8432427311764,338.769287109375,5739253,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-05 00:00:00+05:30,341.55128289691305,341.8080965018573,327.46978134039784,329.18182373046875,11873813,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-07 00:00:00+05:30,330.765400983659,335.6874966245254,324.4308597504353,334.5746765136719,8290910,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-10 00:00:00+05:30,335.55914980350724,338.29841763397974,330.3374277481027,334.9171447753906,3727030,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-11 00:00:00+05:30,335.6447764541128,336.75759686916547,327.8122216151891,329.5670471191406,4608206,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-12 00:00:00+05:30,329.01059210469055,333.0338698243845,328.2829922335088,331.5358581542969,3122243,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-13 00:00:00+05:30,333.2051367064341,335.51637243718625,321.86290177928316,334.6175537109375,5146041,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-14 00:00:00+05:30,331.74984496670794,337.52797667837524,331.2790297257546,332.4346618652344,2872915,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-17 00:00:00+05:30,331.96386491915547,338.1271883598287,329.7382243691531,336.58636474609375,2310461,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-18 00:00:00+05:30,337.2711838368396,346.17377507945196,334.7031348022989,341.9792785644531,8324287,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
2014-11-19 00:00:00+05:30,343.4345191864761,349.08424464916845,338.42682774390875,343.90533447265625,6340864,0.0,0.0,BHARTIARTL.NS,10092329041920,11.606996,1779.0,895.45
