Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,marketCap,priceToBook,pegRatio,fiftyTwoWeekHigh,fiftyTwoWeekLow
2014-11-10 00:00:00-05:00,24.27813535275011,24.347171751078715,24.20019267627225,24.235824584960938,108782000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-11 00:00:00-05:00,24.206880566740235,24.440710366024557,24.140073266247168,24.429574966430664,109769200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-12 00:00:00-05:00,24.358303152780792,24.8148271704506,24.35607743296469,24.774742126464844,187769600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-13 00:00:00-05:00,24.89722502918497,25.264669288721663,24.852685146891915,25.124372482299805,238091600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-14 00:00:00-05:00,25.19786735841593,25.429469698395533,24.76583975316329,25.427242279052734,176254400,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-17 00:00:00-05:00,25.44728189399417,26.117592343914264,25.231269807895142,25.38492774963379,186986800,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-18 00:00:00-05:00,25.373795500094065,25.763510623612685,25.362660102670006,25.71451759338379,176896000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-19 00:00:00-05:00,25.707835381764152,25.77464266494411,25.342616796840133,25.536359786987305,167476800,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-20 00:00:00-05:00,25.589808177250816,26.02406147340832,25.576445361122335,25.901578903198242,173582000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-21 00:00:00-05:00,26.16881240077063,26.182173517499432,25.839224029601972,25.937210083007812,228717200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-24 00:00:00-05:00,26.021832507958475,26.449405220156216,25.97061376274905,26.418228149414062,189803200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-25 00:00:00-05:00,26.51621517133965,26.66764739150284,26.155449726503612,26.188854217529297,275361600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-26 00:00:00-05:00,26.26456259977182,26.5228870680273,26.240066094287798,26.50061798095703,163073200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-11-28 00:00:00-05:00,26.56075401977503,26.589705372260486,26.289068343607678,26.48503875732422,99257600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-01 00:00:00-05:00,26.458313110986257,26.556299161011918,24.779197639396756,25.625436782836914,335256000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-02 00:00:00-05:00,25.27580846758319,25.776870749980215,25.108787706784184,25.52745246887207,237395600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-03 00:00:00-05:00,25.7768648030556,25.910481041063885,25.63434058931041,25.81694984436035,172253600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-04 00:00:00-05:00,25.781313929782858,26.099766791979,25.674421635617968,25.71895980834961,168178000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-05 00:00:00-05:00,25.830313010289938,25.850356382045785,25.529676026134478,25.609846115112305,153275600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-08 00:00:00-05:00,25.409415681978114,25.531898209194278,24.857134847856436,25.03083610534668,230659600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-09 00:00:00-05:00,24.53869238785683,25.45396635515663,24.351628239557616,25.413881301879883,240832000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-10 00:00:00-05:00,25.47846317934183,25.57644754485282,24.839329738534,24.930633544921875,178261200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-11 00:00:00-05:00,24.999663810416937,25.342613252990418,24.794783753188547,24.857139587402344,165606800,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-12 00:00:00-05:00,24.59881852350255,24.91281838308229,24.402848100567322,24.43625259399414,224112400,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-15 00:00:00-05:00,24.652268534737857,24.852693827504705,23.6835482685587,24.102214813232422,268872400,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-16 00:00:00-05:00,23.687997915952707,24.532009681209104,23.663501402260128,23.772621154785156,243162800,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-17 00:00:00-05:00,23.855018089313756,24.460745261268617,23.788209108329482,24.364988327026367,213647200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-18 00:00:00-05:00,24.912812235160956,25.08651351928711,24.643352332987984,25.08651351928711,236024800,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-19 00:00:00-05:00,24.99966861924317,25.217908134391404,24.866052346842995,24.89277458190918,353719200,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-22 00:00:00-05:00,24.977400733603286,25.273582947080307,24.935088260668067,25.15110206604004,180670000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-23 00:00:00-05:00,25.215678974909334,25.237948067434832,25.04420339451499,25.06201934814453,104113600,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-24 00:00:00-05:00,25.070922564920306,25.09987220980471,24.943986892700195,24.943986892700195,57918400,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
2014-12-26 00:00:00-05:00,24.964035576178222,25.50295547989065,24.94399390078653,25.38492774963379,134884000,0.0,0.0,AAPL,3430681935872,60.24954,2.17,237.49,164.08
